,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
438,20,239.26087898452687,0.199384065820439,0.0001661533881836,5,12:04:2013 ,0,3,43.7071621,-72.2859998,1365699787,True,1.0,1200.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
558,20,839.0855920347909,0.6992379933623257,0.0005826983278019,5,12:04:2013 ,0,23,43.7010492,-72.2865689,1365700987,True,1.0,1200.0,"Black Family Visual Arts Center, 22, Lebanon Street, Hanover, Grafton County, New Hampshire, 03755, United States",arts_centre,amenity,Black Family Visual Arts Center,us,33.0
402,20,247.99923497928987,0.1033330145747041,4.305542273946004e-05,5,12:04:2013 ,3,43,43.7028265,-72.2899901,1365712987,True,1.0,12000.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,19.0
439,20,585.6920346649539,0.4880766955541282,0.0004067305796284,5,12:04:2013 ,11,3,43.7071081,-72.2861069,1365739387,True,1.0,26400.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
594,20,243.91403265038548,0.2032616938753212,0.0001693847448961,5,12:04:2013 ,21,3,43.7089354,-72.2840788,1365775387,True,1.0,36000.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
595,20,4.43353078612788,0.0036946089884399,3.078840823699917e-06,5,12:04:2013 ,22,3,43.7089131,-72.2841456,1365778987,False,0.0,3600.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
440,20,240.90801687899025,0.2007566807324918,0.0001672972339437,5,12:04:2013 ,22,23,43.707158,-72.2859955,1365780187,True,1.0,1200.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
383,20,15.675367363919571,0.0130628061365996,1.0885671780499702e-05,5,12:04:2013 ,23,23,43.7070613,-72.2863633,1365783787,False,0.0,3600.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,4.0
120,20,114.98502928696556,0.0958208577391379,7.985071478261498e-05,5,12:04:2013 ,23,43,43.7062236,-72.2890859,1365784987,True,1.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
121,20,8.359322072060515,0.006966101726717,5.805084772264246e-06,6,13:04:2013 ,0,23,43.7062099,-72.2888781,1365787387,False,0.0,2400.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
441,20,135.4920419250994,0.0564550174687914,2.3522923945329756e-05,6,13:04:2013 ,1,3,43.707197,-72.2860667,1365789787,True,1.0,2400.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
652,20,1000.4021266795108,0.2084171097248981,4.3420231192687107e-05,6,13:04:2013 ,7,3,43.6999242,-72.2915688,1365811387,True,1.0,21600.0,"17, School Street, Hanover, Grafton County, New Hampshire, 03755, United States",apartments,building,,us,8.0
350,20,436.3572828719696,0.0403922320533157,3.738982880062549e-06,6,13:04:2013 ,19,23,43.7030756,-72.2905291,1365855790,True,1.0,44403.0,"Class of 1953 Commons, 6, Mass Row, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1953 Commons,us,16.0
671,20,440.09081794201853,0.3667423482850154,0.0003056186235708,0,14:04:2013 ,0,43,43.6999319,-72.2913579,1365874995,True,1.0,19205.0,"17, School Street, Hanover, Grafton County, New Hampshire, 03755, United States",apartments,building,,us,4.0
653,20,20.452923928334165,0.0311782376956313,4.752780136529169e-05,0,14:04:2013 ,4,23,43.7000142,-72.2914811,1365888200,True,1.0,13205.0,"17, School Street, Hanover, Grafton County, New Hampshire, 03755, United States",apartments,building,,us,8.0
378,20,405.3898925784563,0.1692650908469546,7.067435943505412e-05,0,14:04:2013 ,5,3,43.7029675,-72.2907461,1365890595,True,1.0,2395.0,"Class of 1953 Commons, 6, Mass Row, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1953 Commons,us,4.0
485,20,48.35871294488385,0.0402989274540698,3.3582439545058226e-05,0,14:04:2013 ,8,3,43.7026514,-72.2896631,1365901395,True,1.0,10800.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,2.0
442,20,610.1114934277947,0.5084262445231622,0.0004236885371026,0,14:04:2013 ,11,3,43.707144,-72.2860359,1365912195,True,1.0,10800.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
